"AccessionID","State","OriginLab","SubmittingLab"
"EPI_ISL_2379903","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379904","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379905","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379906","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379907","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379908","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379909","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379910","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379911","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379912","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379913","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379914","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379915","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379916","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379917","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379918","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379919","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379920","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379921","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379922","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379923","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379924","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379925","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379926","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379927","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379929","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379930","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379931","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379932","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379933","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379934","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379944","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2379945","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2379949","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2379950","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2379952","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2379954","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2379958","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2379959","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2379960","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2379963","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2379964","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2379969","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2379983","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2379984","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2379985","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2379986","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2379987","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2379988","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2379989","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2380001","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2380003","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2380006","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2380008","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2380012","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2380014","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2380015","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2380018","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2380020","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2380021","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2380022","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2380023","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2380024","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2380025","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2380026","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2380027","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2380028","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2380029","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2380030","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2380031","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2380032","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2380033","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2608379","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2608382","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2608390","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_1318210","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_1318219","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2367532","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2367537","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2367531","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2367525","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2367550","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2367530","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2367528","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2367539","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2367523","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2367536","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2367538","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2367522","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2367555","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2367529","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2367527","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2367556","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2367526","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2367554","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2367524","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2367546","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2367540","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2367553","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2367543","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2367542","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2367549","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2367551","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2367544","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2367548","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2367513","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2367514","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2367504","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2367502","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2367503","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2367508","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2367507","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2367506","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2367561","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2535608","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535615","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2535617","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2535619","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535624","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2535629","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2535649","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2535657","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2535671","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2535676","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2535684","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2535687","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2535703","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2535708","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2535713","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2535719","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2535723","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2535724","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2535729","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2535730","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2535731","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535732","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535733","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535735","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535736","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535737","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535744","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535747","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535748","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535749","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535751","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535752","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535755","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535756","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535763","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535766","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535767","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535768","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535771","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535772","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2020239","Sarawak","Hospital Bintulu","IMR"
"EPI_ISL_2379946","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2379957","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2379977","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2379991","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2379993","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2380011","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2380019","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2608407","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_1186028","Selangor","IMR","IMR"
"EPI_ISL_1973327","Sarawak","Hospital Bintulu","IMR"
"EPI_ISL_1973328","Sarawak","Hospital Bintulu","IMR"
"EPI_ISL_1973326","Sarawak","Hospital Bintulu","IMR"
"EPI_ISL_2614740","Sarawak","Hospital Miri","IMR"
"EPI_ISL_2614742","Sarawak","Hospital Miri","IMR"
"EPI_ISL_2614745","Sarawak","Sarawak General Hospital","IMR"
"EPI_ISL_1787983","Selangor","IMR","IMR"
"EPI_ISL_1807186","Selangor","IMR","IMR"
"EPI_ISL_1424468","Selangor","IMR","IMR"
"EPI_ISL_1424467","Selangor","IMR","IMR"
"EPI_ISL_1807206","Selangor","IMR","IMR"
"EPI_ISL_1807207","Selangor","IMR","IMR"
"EPI_ISL_1807188","Selangor","IMR","IMR"
"EPI_ISL_1318205","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_1318217","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_1788079","Selangor","IMR","IMR"
"EPI_ISL_1787689","Selangor","IMR","IMR"
"EPI_ISL_1787324","Selangor","IMR","IMR"
"EPI_ISL_1424510","Selangor","IMR","IMR"
"EPI_ISL_1714796","Selangor","IMR","IMR"
"EPI_ISL_1714797","Selangor","IMR","IMR"
"EPI_ISL_1673735","Selangor","IMR","IMR"
"EPI_ISL_1673683","Selangor","IMR","IMR"
"EPI_ISL_2367535","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2367533","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2367520","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2367521","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2367557","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2367552","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2367541","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2367558","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2367545","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2367512","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2367505","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2367562","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2367560","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_1424470","Selangor","IMR","IMR"
"EPI_ISL_2020238","Sarawak","Hospital Bintulu","IMR"
"EPI_ISL_1334365","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2020240","Sarawak","Hospital Bintulu","IMR"
"EPI_ISL_3050137","Sarawak","Hospital Kapit","IMR"
"EPI_ISL_3723540","Sarawak","Hospital Sibu","IMR"
"EPI_ISL_4051651","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_4051673","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_4051832","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_4051833","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_4051839","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_4051645","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_4051646","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_4051647","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_4051648","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_4051649","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_4051650","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_4051652","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_4051653","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_4051654","Sarawak","Hospital Miri","UNIMAS"
"EPI_ISL_4051655","Sarawak","Hospital Miri","UNIMAS"
"EPI_ISL_4051656","Sarawak","Hospital Miri","UNIMAS"
"EPI_ISL_4051657","Sarawak","Hospital Bintulu","UNIMAS"
"EPI_ISL_4051658","Sarawak","Hospital Bintulu","UNIMAS"
"EPI_ISL_4051659","Sarawak","Hospital Bintulu","UNIMAS"
"EPI_ISL_4051660","Sarawak","Hospital Bintulu","UNIMAS"
"EPI_ISL_4051661","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_4051662","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_4051663","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_4051664","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_4051665","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_4051666","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_4051667","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_4051668","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_4051669","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_4051670","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_4051671","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_4051672","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_4051674","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_4051675","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_4051676","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_4051678","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_4051857","Sarawak","Hospital Miri","UNIMAS"
"EPI_ISL_4051835","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_4051836","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_4051834","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_4460077","Sarawak","Hospital Bintulu","UNIMAS"
"EPI_ISL_4460081","Sarawak","Hospital Bintulu","UNIMAS"
"EPI_ISL_4460123","Sarawak","Borneo Medical Centre","UNIMAS"
